slug,food_name,common_portion,portion_grams,protein_g_per_100g,calories_per_100g,total_fat_g_per_100g,saturated_fat_g_per_100g,total_carbs_g_per_100g,fiber_g_per_100g,sugars_g_per_100g,sodium_mg_per_100g,usda_fdc_id,usda_data_type,last_verified,report_url
carrots,Carrots,1 medium (61 g),61,0.9,41,0.2,0,9.6,2.8,4.7,69,170393,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/carrots
orange,Orange,1 medium (131 g),131,0.9,47,0.1,0,11.8,2.4,9.4,0,169097,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/orange
grapefruit,Grapefruit,1/2 medium (123 g),123,0.8,42,0.1,0,10.7,1.6,6.9,0,174673,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/grapefruit
mango,Mango,1 cup sliced (165 g),165,0.8,60,0.4,0.1,15,1.6,13.7,1,169910,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/mango
blueberries,Blueberries,1 cup (148 g),148,0.7,57,0.3,0,14.5,2.4,10,1,171711,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/blueberries
grapes,Grapes,1 cup (151 g),151,0.7,69,0.2,0.1,18.1,0.9,15.5,2,174683,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/grapes
strawberries,Strawberries,1 cup sliced (166 g),166,0.7,32,0.3,0,7.7,2,4.9,1,167762,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/strawberries
watermelon,Watermelon,1 cup diced (152 g),152,0.6,30,0.2,0,7.6,0.4,6.2,1,167765,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/watermelon
pineapple,Pineapple,1 cup chunks (165 g),165,0.5,50,0.1,0,13.1,1.4,9.9,1,169124,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/pineapple
almond-milk,Almond milk,1 cup (240 g),240,0.4,15,1,0.1,1.3,0.2,0.8,72,174832,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/almond-milk
apple,Apple,1 medium (182 g),182,0.3,52,0.2,0,13.8,2.4,10.4,1,171688,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/apple
