slug,brand,product_name,category,upc,usda_fdc_id,serving_size,servings_per_package,calories,protein_g,total_fat_g,saturated_fat_g,total_carbs_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,score,grade,protein_density_score,ingredient_quality_score,sugar_load_score,sodium_load_score,fiber_score,saturated_fat_score,last_verified,report_url
jack-links-teriyaki-beef-jerky-3-125-oz-90-g,Jack Link'S,"Jack Link'S, Teriyaki Beef Jerky",Other Snacks,017082877574,2675690,1 PACKAGE,,50,7,0.5,0,3,0,3,,300,68,C+,100,70,63,0,30,100,2026-06-03,https://labelgrade.com/jack-links-teriyaki-beef-jerky-3-125-oz-90-g
kellogg-company-us-eggo-waffles-homestyle-86-4oz,Eggo,Homestyle Waffles,Frozen Breakfast,00038000158711,752902,2 Waffles,,180,4.27,6.09,1.54,27.4,0.84,1.82,,356,68,C+,59,69,97,47,38,86,2026-06-05,https://labelgrade.com/kellogg-company-us-eggo-waffles-homestyle-86-4oz
kikkoman-soy-sauce,Kikkoman,Soy Sauce,Condiments & Sauces,041390000027,2053519,1 Tbsp,,10,2,0,0,0,0,0,,920,68,C+,70,77,100,0,30,100,2026-06-06,https://labelgrade.com/kikkoman-soy-sauce
nabisco-original-premium-saltine-crackers-4-oz-113-g,Nabisco,Premium Original Saltine Crackers,Other Snacks,044000003821,2500607,5 crackers,,70.1,1,1.5,0,12,0,0,,135,68,C+,59,72,100,23,30,100,2026-06-05,https://labelgrade.com/nabisco-original-premium-saltine-crackers-4-oz-113-g
ore-ida-golden-tater-tots-32-oz,Ore-Ida,Golden Tater Tots,Frozen Potatoes,0013120000829,2631457,3 oz (86g/about 9 pieces),,130,2,8,1.5,14,1.03,0.998,0,450,68,C+,53,71,99,46,38,89,2026-06-06,https://labelgrade.com/ore-ida-golden-tater-tots-32-oz
oscar-mayer-deli-fresh-blackened-turkey-breast,Oscar Mayer,"Oscar Mayer, Deli Fresh, Blackened Turkey Breast","Pepperoni, Salami & Cold Cuts",044700079201,1592874,2 oz,,59.9,9,1.5,0,2,,0,,560,68,C+,74,63,100,15,30,100,2026-06-03,https://labelgrade.com/oscar-mayer-deli-fresh-blackened-turkey-breast
oscar-mayer-smoked-ham,Oscar Mayer,Smoked Ham,"Pepperoni, Salami & Cold Cuts",044700070581,1625206,3 SLICES,,59.8,10,2,0.998,0,0,0,,480,68,C+,76,66,100,23,30,89,2026-06-05,https://labelgrade.com/oscar-mayer-smoked-ham
prego-traditional-italian-sauce,Prego,Traditional Italian Sauce,Prepared Pasta & Pizza Sauces,051000151933,1627045,0.5 cup,,69.6,2,1.5,0,13,3,10,,480,68,C+,53,75,60,60,48,100,2026-06-05,https://labelgrade.com/prego-traditional-italian-sauce
ruffles-potato-chips-original,Ruffles,Original Potato Chips,"Chips, Pretzels & Snacks",028400427302,1629965,1 oz,,160,2,10,1.5,15,1.01,1,,160,68,C+,61,80,96,42,55,68,2026-06-05,https://labelgrade.com/ruffles-potato-chips-original
snack-pack-pudding-chocolate-13-onz,Snack Pack,Chocolate Pudding,Pudding & Gelatin,00027000419007,2769897,1 pudding cup (92g),,100,1,2.5,1.5,19,1.01,13,12,125,68,C+,52,75,52,86,38,90,2026-06-06,https://labelgrade.com/snack-pack-pudding-chocolate-13-onz
applegate-the-great-organic-uncured-beef-hot-dog-12-oz-340-g,Applegate,Applegate The Great Organic Uncured Beef Hot Dog,"Sausages, Hotdogs & Brats",025317532006,1850095,1 hot dog (48 g),,90.2,6,7,3,0,0,0,,280,67,C+,69,78,100,41,30,64,2026-05-28,https://labelgrade.com/applegate-the-great-organic-uncured-beef-hot-dog-12-oz-340-g
bertolli-tomato-and-basil-sauce-24-oz-680-g,Bertolli,Tomato & Basil Sauce,Prepared Pasta & Pizza Sauces,036200219317,2111867,1/2 cup,,80,2,2,0,13,1,11,,350,67,C+,52,72,56,69,36,100,2026-06-05,https://labelgrade.com/bertolli-tomato-and-basil-sauce-24-oz-680-g
blue-diamond-almond-breeze-chocolate-milk,Blue Diamond,Blue Diamond Almond Breeze Chocolate Almondmilk,Plant Based Milk,00041570056257,2757168,1 cup (240 mL),8,100,1,2.5,0,21,1,19,19,150,67,C+,51,75,24,100,33,100,2026-05-31,https://labelgrade.com/blue-diamond-almond-breeze-chocolate-milk
chomps-original-beef-sticks-13-8-oz-384-g,Chomps,Chomps Original Beef Sticks,Meat Sticks / Jerky,856584004763,2652237,1 stick (32 g),,90,9,6,2.5,0,0,0,0,290,67,C+,92,72,100,20,30,57,2026-05-28,https://labelgrade.com/chomps-original-beef-sticks-13-8-oz-384-g
dole-mandarin-oranges-in-100-fruit-juice-23-5-oz-665-g,Dole,Mandarin Oranges In 100% Fruit Juice,Canned Fruit,038900030995,2672059,0.5 cup,,90.3,1,0,0,22,0.976,20,,4.88,67,C+,51,78,20,100,36,100,2026-06-05,https://labelgrade.com/dole-mandarin-oranges-in-100-fruit-juice-23-5-oz-665-g
healthy-choice-power-bowls-mango-edamame-9-oz,Healthy Choice,Healthy Choice Power Bowls Mango Edamame,Frozen Meals,0072655000735,2531830,1 bowl (255 g),,370,10,14,1.5,50,6.88,20,17.1,431,67,C+,56,72,32,83,49,97,2026-05-28,https://labelgrade.com/healthy-choice-power-bowls-mango-edamame-9-oz
marie-callenders-chicken-pot-pie-15-onz,Marie Callender's,Marie Callender's Chicken Pot Pie,Frozen Meals,00021131506995,2754960,1 cup (200 g),,440,11,26,11,40,2,2,1,650,67,C+,58,69,96,65,37,68,2026-05-28,https://labelgrade.com/marie-callenders-chicken-pot-pie-15-onz
ocean-spray-craisins-dried-cranberries-12-oz-340-g,Ocean Spray,Craisins Dried Cranberries,Dried Fruit & Raisins,031200294500,2439369,0.25 cup,,130,0,0,0,33,3,29,,0,67,C+,50,75,0,100,83,100,2026-06-06,https://labelgrade.com/ocean-spray-craisins-dried-cranberries-12-oz-340-g
